WORD,,MK,AK,MM,KB,average
źl,,1,1,1,1,1
zm,,1,1,1,1,1
żm,,1,1,1,1,1
zm,,1,1,1,1,1
zm,,1,1,1,1,1
żm,,1,1,1,1,1
zmr,,1,1,1,1,1
zmr,,1,1,1,1,1
zn,,1,1,1,1,1
żn,(only before <i>),1,1,1,1,1
zn,,1,1,1,1,1
żn,(only before <i>),1,1,1,1,1
zni,,1,1,1,1,1
żni,,1,1,1,1,1
zni,,1,1,1,1,1
żni,,1,1,1,1,1
zni,,1,1,1,1,1
żni,,1,1,1,1,1
zn,,1,1,1,1,1
żn,(only before <i>),1,1,1,1,1
z,,1,1,1,1,1
ż,,1,1,1,1,1
zr,,1,1,1,1,1
źr,,1,1,1,1,1
zr,,1,1,1,1,1
źr,,1,1,1,1,1
źr,,1,1,1,1,1
zsz,,1,1,1,1,1
zsz,,1,1,1,1,1
zsz,,1,1,1,1,1
zw,,1,1,1,1,1
żw,,1,1,1,1,1
zw,,1,1,1,1,1
żw,,1,1,1,1,1
zwł,,1,1,1,1,1
zwł,,1,1,1,1,1
zwł,,1,1,1,1,1
zw,,1,1,1,1,1
żw,,1,1,1,1,1
zwr,,1,1,1,1,1
zwr,,1,1,1,1,1
zwr,,1,1,1,1,1
zż,,1,1,1,1,1
zz,,1,1,1,1,1
zż,,1,1,1,1,1
rt,,1,1,1,0,0.75
rż,,1,1,1,1,1
m,,1,1,1,1,1
